iter	Logloss
0	0.6708225523
1	0.6495641884
2	0.6308836912
3	0.6133610509
4	0.597575431
5	0.5833161697
6	0.570374054
7	0.5589655799
8	0.5482966933
9	0.5390280815
10	0.5304768945
11	0.5228230957
12	0.5154418652
13	0.5091414708
14	0.5030690454
15	0.4975774672
16	0.4925357185
17	0.4881990997
18	0.4843909758
19	0.4807312159
20	0.477456599
21	0.4746173238
22	0.4718411296
23	0.4691848327
24	0.466848914
25	0.4645460042
26	0.4625826985
27	0.4608241028
28	0.4591097149
29	0.4574836248
30	0.4561045337
31	0.454818126
32	0.4536439016
33	0.4525287252
34	0.4514793708
35	0.4506140518
36	0.4498640487
37	0.4490846391
38	0.4484005754
39	0.4477875025
40	0.4468622741
41	0.4462307977
42	0.4454635657
43	0.4447363125
44	0.4440133273
45	0.4433154414
46	0.4429144008
47	0.4423823426
48	0.4418246369
49	0.441479316
50	0.4412197869
51	0.4409618632
52	0.4406736323
53	0.4403148807
54	0.4400829569
55	0.4397765183
56	0.4395571246
57	0.4392298939
58	0.4390216598
59	0.4388106847
60	0.4385543664
61	0.4383988761
62	0.4381284614
63	0.4380111095
64	0.4375018795
65	0.4373566481
66	0.4371265255
67	0.4370262458
68	0.4368452646
69	0.4365600096
70	0.4363456671
71	0.4361639419
72	0.4359494036
73	0.4355215408
74	0.4354571284
75	0.4351033496
76	0.4350381932
77	0.4348710734
78	0.4346991373
79	0.4344117288
80	0.4342867413
81	0.4341885369
82	0.4341229498
83	0.4340458507
84	0.4337560536
85	0.4336763702
86	0.4334724824
87	0.4334027839
88	0.4333142119
89	0.4332349592
90	0.4331544535
91	0.4328702166
92	0.4327901025
93	0.4327487924
94	0.4326719283
95	0.4325631124
96	0.4323023303
97	0.4320608131
98	0.4320180934
99	0.4319489431
100	0.4318682807
101	0.4317622059
102	0.4317000645
103	0.4315889385
104	0.4314763636
105	0.4314518908
106	0.4314140265
107	0.4313745959
108	0.4313281563
109	0.4312517229
110	0.4311662835
111	0.4311413799
112	0.431098347
113	0.4309909799
114	0.4309146639
115	0.4308457094
116	0.4307525953
117	0.430712225
118	0.4305746683
119	0.4305005059
120	0.4304635813
121	0.4304395393
122	0.430317097
123	0.4302912537
124	0.4302376093
125	0.430201233
126	0.4301748415
127	0.4300641853
128	0.4300118331
129	0.4298829691
130	0.4298562253
131	0.4298376651
132	0.4297957677
133	0.429706256
134	0.4296936084
135	0.429628452
136	0.4296046449
137	0.4295807203
138	0.4295476722
139	0.4294339227
140	0.4293662211
141	0.4293157484
142	0.4292183271
143	0.4291929929
144	0.4290922041
145	0.4290259513
146	0.4290199996
147	0.4289626745
148	0.4289269246
149	0.4289021777
150	0.4289005332
151	0.4288597713
152	0.4288278587
153	0.4288090245
154	0.4287776601
155	0.4287624674
156	0.4287175158
157	0.4286705672
158	0.4286504016
159	0.4285641007
160	0.4285516098
161	0.4285142937
162	0.4284228633
163	0.4284070049
164	0.4283770502
165	0.4283764629
166	0.4283141649
167	0.4282656109
168	0.4282640838
169	0.4282442706
170	0.4282289604
171	0.4282101653
172	0.4282042136
173	0.4281878461
174	0.428176295
175	0.4281746113
176	0.4280802441
177	0.4280376811
178	0.42798713
179	0.4279396332
180	0.4278953864
181	0.4278681335
182	0.4278538023
183	0.4278096337
184	0.4278041518
185	0.4277931097
186	0.4277871579
187	0.4277733357
188	0.4277542665
189	0.4277509382
190	0.4277350407
191	0.4276522247
192	0.4276182369
193	0.4276156917
194	0.427579981
195	0.4275759087
196	0.4275756738
197	0.4275712883
198	0.4275365173
199	0.4275241047
200	0.4275237915
201	0.4275190927
202	0.427485888
203	0.4274831471
204	0.4274542104
205	0.427446105
206	0.4274378039
207	0.4274175208
208	0.4273614487
209	0.4273541656
210	0.4273029881
211	0.4272742081
212	0.4272239703
213	0.4272227173
214	0.4272211511
215	0.4272142204
216	0.4271944464
217	0.4271635127
218	0.4271570128
219	0.4271533321
220	0.427108028
221	0.4270992961
222	0.4270795613
223	0.4270508987
224	0.4270427933
225	0.4270405614
226	0.4270280313
227	0.4269810044
228	0.4269464684
229	0.4269429443
230	0.4269302968
231	0.4269135378
232	0.4268613814
233	0.4268609507
234	0.4268532368
235	0.4268531585
236	0.4268316225
237	0.426824496
238	0.4267735534
239	0.4267526438
240	0.4267475927
241	0.4267413276
242	0.4267340445
243	0.4267299331
244	0.4267003308
245	0.4266945356
246	0.426662584
247	0.4266462949
248	0.4266309847
249	0.4265976234
250	0.4265973884
251	0.4265946475
252	0.4265738162
253	0.4265736988
254	0.4265649277
255	0.42655925
256	0.4265224821
257	0.4264942503
258	0.4264875545
259	0.4264850093
260	0.4264850876
261	0.4264849702
262	0.426471657
263	0.4264670757
264	0.4264671148
265	0.4264669582
266	0.4264510998
267	0.4264492595
268	0.4264388439
269	0.4264253349
270	0.4264198921
271	0.4264131964
272	0.4264047777
273	0.4263931482
274	0.4263763893
275	0.4263372328
276	0.4263333171
277	0.4263191817
278	0.4263042239
279	0.4262238356
280	0.4262196851
281	0.4262149471
282	0.4262147905
283	0.4261984231
284	0.4261759081
285	0.4261675678
