iter	Passed	Remaining
0	71	3565242
1	131	3293447
2	189	3153885
3	247	3091191
4	306	3062863
5	362	3022661
6	421	3009118
7	479	2993313
8	536	2982413
9	594	2970307
10	651	2962298
11	709	2954914
12	766	2947111
13	822	2938406
14	880	2932816
15	936	2925150
16	992	2918383
17	1051	2918902
18	1107	2913888
19	1163	2907548
20	1219	2902195
21	1275	2897839
22	1332	2894466
23	1388	2890605
24	1434	2867635
25	1490	2865239
26	1546	2862696
27	1602	2860805
28	1658	2857920
29	1714	2856215
30	1775	2861516
31	1833	2862724
32	1891	2864741
33	1949	2865255
34	2007	2865919
35	2077	2883539
36	2204	2977401
37	2319	3049629
38	2428	3111444
39	2541	3174062
40	2684	3270598
41	2740	3259446
42	2799	3252143
43	2858	3245571
44	2918	3239313
45	2977	3233665
46	3033	3223801
47	3092	3217764
48	3150	3211499
49	3206	3203043
50	3263	3195913
51	3300	3169919
52	3359	3166256
53	3417	3161283
54	3473	3154693
55	3521	3140796
56	3577	3134899
57	3636	3131618
58	3692	3125772
59	3752	3123223
60	3808	3118317
61	3854	3104662
62	3914	3102745
63	3969	3097494
64	4028	3095115
65	4087	3092456
66	4146	3090624
67	4183	3072253
68	4239	3068183
69	4299	3066885
70	4358	3064992
71	4406	3055591
72	4466	3054754
73	4525	3053520
74	4582	3050687
75	4641	3049144
76	4699	3047160
77	4758	3045310
78	4818	3044775
79	4878	3044083
80	4934	3040989
81	4989	3037659
82	5034	3027647
83	5089	3024491
84	5149	3023949
85	5194	3014726
86	5254	3014632
87	5314	3014457
88	5370	3011575
89	5429	3010758
90	5484	3008036
91	5543	3007312
92	5601	3006019
93	5658	3004340
94	5705	2997070
95	5763	2996013
96	5822	2995445
97	5881	2994939
98	5937	2992826
99	5996	2992332
100	6054	2991435
101	6113	2990860
102	6171	2989893
103	6231	2989473
104	6289	2988845
105	6337	2983054
106	6382	2976097
107	6440	2975278
108	6485	2968665
109	6544	2968252
110	6590	2962268
111	6648	2961230
112	6704	2959840
113	6762	2959422
114	6821	2958842
115	6880	2958929
116	6939	2958502
117	6996	2957583
118	7055	2957317
119	7114	2957143
120	7158	2950836
121	7216	2950335
122	7276	2950454
123	7333	2949836
124	7392	2949529
125	7447	2948014
126	7502	2946414
127	7562	2946345
128	7608	2941405
129	7666	2940920
130	7725	2940957
131	7784	2940714
132	7839	2939291
133	7897	2938960
134	7952	2937491
135	8011	2937325
136	8070	2937525
137	8129	2937245
138	8187	2936881
139	8252	2939207
140	8313	2939855
141	8374	2940506
142	8435	2941009
143	8480	2936013
144	8538	2935907
145	8599	2936317
146	8645	2931928
147	8706	2932610
148	8767	2933193
149	8825	2932887
150	8863	2925928
151	8922	2926270
152	8979	2925386
153	9023	2920741
154	9070	2916777
155	9117	2913108
156	9175	2913083
157	9235	2913351
158	9273	2906874
159	9332	2907062
160	9389	2906493
161	9448	2906771
162	9507	2906832
163	9565	2906738
164	9625	2907176
165	9680	2906069
166	9739	2906287
167	9798	2906455
168	9854	2905764
169	9910	2904842
170	9947	2898694
171	9994	2895283
172	10051	2895122
173	10110	2895248
174	10155	2891345
175	10211	2890909
176	10271	2891154
177	10331	2891906
178	10391	2892332
179	10451	2892768
180	10509	2892626
181	10567	2892634
182	10626	2892672
183	10684	2892631
184	10740	2892200
185	10796	2891599
186	10853	2891155
187	10911	2891207
188	10967	2890457
189	11023	2889848
190	11078	2889025
191	11136	2889100
192	11194	2888907
193	11239	2885566
194	11301	2886522
195	11358	2886160
196	11414	2885714
197	11470	2885053
198	11530	2885613
199	11587	2885320
200	11643	2884697
201	11699	2884178
202	11757	2884295
203	11814	2883878
204	11872	2883865
205	11931	2884144
206	11987	2883640
207	12055	2885946
208	12116	2886521
209	12161	2883512
210	12220	2883630
211	12280	2884114
212	12340	2884552
213	12379	2880054
214	12418	2875512
215	12507	2882821
216	12599	2890469
217	12747	2911066
218	12923	2937545
219	13023	2946762
220	13155	2963233
221	13286	2979154
222	13542	3022884
223	13866	3081248
224	13931	3082048
225	13995	3082320
226	14044	3079464
227	14110	3080195
228	14194	3085124
229	14253	3084254
230	14300	3080956
231	14360	3080556
232	14422	3080581
233	14470	3077593
234	14509	3072642
235	14567	3071677
236	14624	3070790
237	14663	3065924
238	14723	3065546
239	14784	3065416
240	14830	3062091
241	14887	3061012
242	14945	3060266
243	15004	3059719
244	15065	3059614
245	15111	3056306
246	15171	3055912
247	15216	3052624
248	15273	3051723
249	15333	3051324
250	15371	3046586
251	15428	3045860
252	15488	3045395
253	15544	3044433
254	15603	3043964
255	15651	3041362
256	15712	3041169
257	15772	3040847
258	15829	3040033
259	15874	3036907
260	15919	3033720
